VideoId,Segment,Number of cluster(K),Number of similar users,Similar users
V1,1,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V1,2,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V1,3,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V1,4,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V1,5,2,31,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32
V1,6,2,22,1-2-3-4-5-6-7-8-11-13-14-15-17-21-22-23-24-25-26-27-28-29
V1,7,2,27,1-3-4-5-6-7-8-10-11-12-13-14-15-17-18-19-20-21-22-24-25-26-27-28-29-31-32
V1,8,2,29,1-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-31-32
V1,9,2,29,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-20-21-22-23-24-25-26-27-28-29-31-32
V1,10,2,29,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-20-21-22-23-24-25-26-27-28-29-31-32
V1,11,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-18-19-20-21-22-23-24-25-26-27-28-29-31-32
V1,12,2,16,1-2-3-9-11-14-18-20-21-22-23-25-26-27-30-32
V1,13,2,30,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-23-24-25-26-27-28-29-31-32
V1,14,2,30,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32
V1,15,2,19,1-3-4-5-6-12-14-15-17-19-20-21-22-25-26-27-29-31-32
V1,16,2,19,1-2-3-4-5-6-9-12-15-19-20-21-22-25-26-27-29-31-32
V1,17,2,28,1-2-3-4-5-6-8-9-10-11-12-13-14-15-18-19-20-21-22-23-24-25-26-27-28-29-31-32
V1,18,2,27,1-3-4-5-6-8-9-10-12-13-14-15-16-18-19-20-21-22-23-24-25-26-27-28-29-30-31
V1,19,2,26,1-3-4-5-6-8-9-10-12-13-14-15-17-18-20-21-22-23-24-25-26-27-28-29-30-31
V1,20,2,27,1-3-4-5-6-8-9-10-12-13-14-15-16-17-18-20-21-22-23-24-25-26-27-28-29-30-31
V1,21,2,23,1-3-5-6-7-8-9-10-11-13-14-15-18-20-21-22-24-25-26-27-29-31-32
V1,22,2,27,1-2-3-4-5-6-9-10-12-13-14-15-16-17-19-20-21-22-23-24-25-26-27-28-29-30-31
V1,23,2,27,1-2-3-4-5-6-7-9-10-12-13-14-15-16-17-19-20-21-23-24-25-26-27-28-29-30-31
V1,24,2,27,1-2-3-4-5-6-7-9-10-12-13-14-15-16-17-19-20-21-23-24-25-26-27-28-29-30-31
V1,25,2,27,1-2-3-4-5-6-7-9-10-12-13-14-15-16-17-19-20-21-23-24-25-26-27-28-29-30-31
V1,26,2,19,1-2-3-5-7-9-11-13-14-15-16-17-19-25-26-28-29-30-31
V1,27,2,16,4-5-6-8-10-11-12-13-15-20-21-22-23-24-27-32
V1,28,2,25,1-2-3-7-8-11-12-13-14-15-16-17-18-19-20-22-23-25-26-27-28-29-30-31-32
V1,29,2,26,1-2-3-5-7-8-11-12-13-14-15-16-17-18-19-20-22-23-25-26-27-28-29-30-31-32
V1,30,2,28,1-2-3-5-6-7-8-9-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V1,31,2,28,1-2-3-5-6-7-8-9-11-12-13-14-15-16-17-18-20-21-22-23-25-26-27-28-29-30-31-32
V1,32,2,28,1-2-3-5-6-7-8-9-11-13-14-15-16-17-18-19-20-21-22-23-25-26-27-28-29-30-31-32
V1,33,2,18,1-2-3-9-11-14-15-16-17-18-19-22-25-26-28-30-31-32
V1,34,2,18,1-2-3-9-14-16-17-18-22-23-25-26-27-28-29-30-31-32
V1,35,2,18,1-2-3-9-14-16-17-18-22-23-25-26-27-28-29-30-31-32
V1,36,2,26,1-2-3-4-5-6-7-8-9-10-11-12-13-15-16-18-19-20-21-23-24-25-26-28-29-31
V1,37,2,19,1-3-4-5-6-7-8-9-10-11-12-13-15-20-21-24-25-26-28
V1,38,2,23,1-2-3-4-5-6-7-8-9-10-11-12-13-15-18-20-21-24-25-26-27-28-29
V1,39,2,23,1-2-3-4-5-6-7-8-9-10-11-12-13-15-18-20-21-24-25-26-27-28-29
V1,40,2,25,1-2-3-4-5-6-7-8-9-10-11-12-13-15-18-20-21-23-24-25-26-27-28-29-32
V1,41,2,26,1-3-4-5-6-7-8-9-10-11-12-13-15-17-18-20-21-22-23-24-25-26-27-28-29-32
V1,42,2,21,1-2-3-4-6-9-10-12-14-16-19-20-22-23-25-26-27-29-30-31-32
V1,43,2,21,1-2-3-4-6-9-10-12-14-16-19-20-22-23-25-26-27-29-30-31-32
V1,44,2,24,1-2-3-4-5-6-7-8-9-10-12-14-16-19-20-22-23-25-26-27-29-30-31-32
V1,45,2,25,1-2-4-5-6-7-9-10-11-12-14-16-18-19-20-22-23-24-25-26-27-29-30-31-32
V1,46,2,25,1-2-4-5-6-7-9-10-11-12-14-16-18-19-20-22-23-24-25-26-27-29-30-31-32
V1,47,2,25,1-2-4-5-6-7-9-10-11-12-14-16-18-19-20-22-23-24-25-26-27-29-30-31-32
V1,48,2,26,1-2-4-5-6-7-9-10-11-12-13-14-16-18-19-20-22-23-24-25-26-27-29-30-31-32
V1,49,2,27,1-2-4-5-6-7-9-10-11-12-13-14-16-17-18-19-20-22-23-24-25-26-27-29-30-31-32
