VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2)
1,0,2,31,1
1,1,2,31,1
1,2,2,31,1
1,3,2,4,28
1,4,2,31,1
1,5,2,25,7
1,6,2,5,27
1,7,2,28,4
1,8,2,29,3
1,9,2,29,3
1,10,2,27,5
1,11,2,8,24
1,12,2,27,5
1,13,2,4,28
1,14,2,13,19
1,15,2,17,15
1,16,2,26,6
1,17,2,24,8
1,18,2,8,24
1,19,2,9,23
1,20,2,9,23
1,21,2,5,27
1,22,2,27,5
1,23,2,5,27
1,24,2,27,5
1,25,2,13,19
1,26,2,16,16
1,27,2,7,25
1,28,2,26,6
1,29,2,28,4
1,30,2,4,28
1,31,2,28,4
1,32,2,22,10
1,33,2,14,18
1,34,2,18,14
1,35,2,6,26
1,36,2,19,13
1,37,2,23,9
1,38,2,9,23
1,39,2,22,10
1,40,2,7,25
1,41,2,20,12
1,42,2,11,21
1,43,2,8,24
1,44,2,25,7
1,45,2,25,7
1,46,2,25,7
1,47,2,26,6
1,48,2,5,27
1,49,2,7,25
1,50,2,24,8
1,51,2,27,5
1,52,2,22,10
1,53,2,22,10
1,54,2,26,6
1,55,2,27,5
1,56,2,24,8
1,57,2,23,9
1,58,2,22,10
1,59,2,13,19
2,0,2,15,17
2,1,2,15,17
2,2,2,17,15
2,3,2,15,17
2,4,2,27,5
2,5,2,24,8
2,6,2,25,7
2,7,2,23,9
2,8,2,25,7
2,9,2,25,7
2,10,2,25,7
2,11,2,7,25
2,12,2,28,4
2,13,2,9,23
2,14,2,12,20
2,15,2,25,7
2,16,2,10,22
2,17,2,11,21
2,18,2,21,11
2,19,2,23,9
2,20,2,11,21
2,21,2,11,21
2,22,2,25,7
2,23,2,24,8
2,24,2,24,8
2,25,2,27,5
2,26,2,9,23
2,27,2,23,9
2,28,2,9,23
2,29,2,21,11
2,30,2,21,11
2,31,2,25,7
2,32,2,11,21
2,33,2,12,20
2,34,2,12,20
2,35,2,20,12
2,36,2,9,23
2,37,2,24,8
2,38,2,10,22
2,39,2,17,15
2,40,2,12,20
2,41,2,24,8
2,42,2,22,10
2,43,2,10,22
2,44,2,19,13
2,45,2,7,25
2,46,2,17,15
2,47,2,20,12
2,48,2,12,20
2,49,2,23,9
2,50,2,21,11
2,51,2,23,9
2,52,2,21,11
2,53,2,21,11
2,54,2,18,14
2,55,2,17,15
2,56,2,20,12
2,57,2,17,15
2,58,2,19,13
2,59,2,12,20
3,0,2,31,1
3,1,2,15,17
3,2,2,20,12
3,3,2,20,12
3,4,2,23,9
3,5,2,9,23
3,6,2,9,23
3,7,2,10,22
3,8,2,21,11
3,9,2,22,10
3,10,2,11,21
3,11,2,22,10
3,12,2,11,21
3,13,2,21,11
3,14,2,16,16
3,15,2,15,17
3,16,2,15,17
3,17,2,16,16
3,18,2,14,18
3,19,2,22,10
3,20,2,18,14
3,21,2,19,13
3,22,2,13,19
3,23,2,13,19
3,24,2,24,8
3,25,2,26,6
3,26,2,11,21
3,27,2,15,17
3,28,2,13,19
3,29,2,16,16
3,30,2,15,17
3,31,2,15,17
3,32,2,14,18
3,33,2,17,15
3,34,2,8,24
3,35,2,27,5
3,36,2,3,29
3,37,2,30,2
3,38,2,31,1
3,39,2,2,30
3,40,2,31,1
3,41,2,11,21
3,42,2,26,6
3,43,2,22,10
3,44,2,3,29
3,45,2,30,2
3,46,2,31,1
3,47,2,31,1
3,48,2,14,18
3,49,2,23,9
3,50,2,28,4
3,51,2,21,11
3,52,2,17,15
3,53,2,16,16
3,54,2,25,7
3,55,2,19,13
3,56,2,13,19
3,57,2,8,24
3,58,2,25,7
3,59,2,25,7
4,0,2,31,1
4,1,2,18,14
4,2,2,17,15
4,3,2,13,19
4,4,2,15,17
4,5,2,12,20
4,6,2,26,6
4,7,2,2,30
4,8,2,30,2
4,9,2,30,2
4,10,2,30,2
4,11,2,3,29
4,12,2,26,6
4,13,2,19,13
4,14,2,17,15
4,15,2,18,14
4,16,2,19,13
4,17,2,23,9
4,18,2,10,22
4,19,2,23,9
4,20,2,22,10
4,21,2,19,13
4,22,2,21,11
4,23,2,22,10
4,24,2,23,9
4,25,2,13,19
4,26,2,11,21
