VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2),Number of Users(C3)
1,0,3,12,1,19
1,1,3,18,13,1
1,2,3,29,1,2
1,3,3,26,1,5
1,4,3,27,4,1
1,5,3,25,5,2
1,6,3,19,11,2
1,7,3,4,26,2
1,8,3,17,3,12
1,9,3,13,3,16
1,10,3,24,3,5
1,11,3,15,3,14
1,12,3,18,4,10
1,13,3,4,11,17
1,14,3,11,19,2
1,15,3,11,16,5
1,16,3,11,16,5
1,17,3,8,17,7
1,18,3,7,21,4
1,19,3,21,5,6
1,20,3,3,22,7
1,21,3,4,7,21
1,22,3,21,5,6
1,23,3,23,5,4
1,24,3,16,5,11
1,25,3,9,5,18
1,26,3,16,3,13
1,27,3,19,5,8
1,28,3,5,6,21
1,29,3,21,4,7
1,30,3,4,7,21
1,31,3,16,13,3
1,32,3,17,13,2
1,33,3,12,17,3
1,34,3,4,17,11
1,35,3,10,18,4
1,36,3,10,15,7
1,37,3,9,6,17
1,38,3,19,9,4
1,39,3,3,7,22
1,40,3,11,14,7
1,41,3,11,5,16
1,42,3,16,5,11
1,43,3,22,3,7
1,44,3,21,6,5
1,45,3,19,7,6
1,46,3,7,21,4
1,47,3,3,23,6
1,48,3,5,22,5
1,49,3,7,18,7
1,50,3,7,24,1
1,51,3,6,21,5
1,52,3,9,6,17
1,53,3,17,8,7
1,54,3,5,23,4
1,55,3,23,5,4
1,56,3,18,6,8
1,57,3,10,16,6
1,58,3,9,17,6
1,59,3,10,10,12
2,0,3,10,18,4
2,1,3,14,13,5
2,2,3,12,13,7
2,3,3,21,10,1
2,4,3,14,13,5
2,5,3,11,7,14
2,6,3,24,3,5
2,7,3,8,22,2
2,8,3,25,4,3
2,9,3,22,6,4
2,10,3,19,8,5
2,11,3,6,22,4
2,12,3,7,21,4
2,13,3,17,8,7
2,14,3,10,15,7
2,15,3,9,16,7
2,16,3,18,9,5
2,17,3,11,9,12
2,18,3,7,14,11
2,19,3,19,9,4
2,20,3,17,9,6
2,21,3,8,8,16
2,22,3,6,20,6
2,23,3,14,8,10
2,24,3,7,19,6
2,25,3,5,19,8
2,26,3,23,5,4
2,27,3,6,19,7
2,28,3,11,8,13
2,29,3,9,14,9
2,30,3,11,7,14
2,31,3,5,22,5
2,32,3,17,10,5
2,33,3,9,10,13
2,34,3,10,6,16
2,35,3,12,13,7
2,36,3,7,13,12
2,37,3,6,13,13
2,38,3,19,8,5
2,39,3,14,14,4
2,40,3,9,18,5
2,41,3,5,19,8
2,42,3,15,7,10
2,43,3,5,19,8
2,44,3,4,16,12
2,45,3,10,7,15
2,46,3,11,7,14
2,47,3,11,8,13
2,48,3,13,13,6
2,49,3,17,10,5
2,50,3,9,17,6
2,51,3,7,17,8
2,52,3,17,8,7
2,53,3,13,7,12
2,54,3,13,11,8
2,55,3,13,13,6
2,56,3,7,7,18
2,57,3,10,15,7
2,58,3,8,10,14
2,59,3,12,11,9
3,0,3,23,1,8
3,1,3,15,12,5
3,2,3,20,10,2
3,3,3,11,20,1
3,4,3,7,23,2
3,5,3,4,9,19
3,6,3,9,21,2
3,7,3,21,9,2
3,8,3,10,3,19
3,9,3,8,20,4
3,10,3,8,20,4
3,11,3,1,21,10
3,12,3,10,19,3
3,13,3,17,13,2
3,14,3,15,15,2
3,15,3,15,13,4
3,16,3,13,15,4
3,17,3,14,14,4
3,18,3,12,3,17
3,19,3,13,8,11
3,20,3,3,15,14
3,21,3,16,13,3
3,22,3,2,19,11
3,23,3,13,17,2
3,24,3,22,1,9
3,25,3,6,24,2
3,26,3,11,20,1
3,27,3,14,17,1
3,28,3,18,13,1
3,29,3,16,15,1
3,30,3,17,14,1
3,31,3,1,17,14
3,32,3,12,19,1
3,33,3,16,14,2
3,34,3,16,11,5
3,35,3,25,5,2
3,36,3,1,3,28
3,37,3,2,3,27
3,38,3,28,1,3
3,39,3,22,2,8
3,40,3,1,26,5
3,41,3,7,20,5
3,42,3,19,6,7
3,43,3,23,3,6
3,44,3,17,3,12
3,45,3,13,2,17
3,46,3,29,1,2
3,47,3,16,1,15
3,48,3,14,6,12
3,49,3,1,19,12
3,50,3,9,22,1
3,51,3,14,1,17
3,52,3,6,17,9
3,53,3,13,17,2
3,54,3,13,16,3
3,55,3,10,7,15
3,56,3,16,6,10
3,57,3,15,8,9
3,58,3,17,2,13
3,59,3,15,5,12
4,0,3,16,15,1
4,1,3,15,13,4
4,2,3,3,13,16
4,3,3,4,14,14
4,4,3,15,16,1
4,5,3,10,21,1
4,6,3,24,6,2
4,7,3,28,2,2
4,8,3,27,2,3
4,9,3,27,3,2
4,10,3,27,2,3
4,11,3,4,26,2
4,12,3,4,5,23
4,13,3,19,11,2
4,14,3,10,17,5
4,15,3,5,17,10
4,16,3,19,5,8
4,17,3,20,8,4
4,18,3,22,2,8
4,19,3,8,19,5
4,20,3,19,7,6
4,21,3,8,17,7
4,22,3,17,6,9
4,23,3,9,16,7
4,24,3,15,8,9
4,25,3,19,6,7
4,26,3,9,17,6
4,27,3,9,5,18
4,28,3,18,11,3
4,29,3,17,10,5
4,30,3,18,8,6
4,31,3,5,24,3
4,32,3,23,6,3
4,33,3,6,4,22
4,34,3,21,4,7
4,35,3,23,4,5
4,36,3,5,4,23
4,37,3,16,13,3
4,38,3,12,17,3
4,39,3,16,13,3
4,40,3,14,15,3
4,41,3,3,16,13
4,42,3,4,11,17
4,43,3,13,4,15
4,44,3,15,13,4
