VideoId,Segment,Number of cluster(K),Number of Users(C1),Number of Users(C2),Number of Users(C3),Number of Users(C4)
1,0,4,12,1,11,8
1,1,4,11,1,12,8
1,2,4,18,1,3,10
1,3,4,12,1,3,16
1,4,4,1,13,3,15
1,5,4,16,4,2,10
1,6,4,20,4,7,1
1,7,4,25,1,4,2
1,8,4,13,3,15,1
1,9,4,8,3,13,8
1,10,4,3,12,5,12
1,11,4,12,5,3,12
1,12,4,1,10,17,4
1,13,4,11,17,3,1
1,14,4,16,11,3,2
1,15,4,14,5,11,2
1,16,4,2,15,4,11
1,17,4,8,3,5,16
1,18,4,20,5,4,3
1,19,4,10,5,5,12
1,20,4,12,6,3,11
1,21,4,20,3,2,7
1,22,4,15,5,3,9
1,23,4,12,5,3,12
1,24,4,14,5,10,3
1,25,4,7,4,12,9
1,26,4,13,11,5,3
1,27,4,10,5,11,6
1,28,4,5,5,2,20
1,29,4,18,4,6,4
1,30,4,16,4,4,8
1,31,4,6,18,2,6
1,32,4,8,17,2,5
1,33,4,4,14,3,11
1,34,4,4,11,14,3
1,35,4,4,9,18,1
1,36,4,2,15,7,8
1,37,4,13,9,4,6
1,38,4,19,5,4,4
1,39,4,15,7,7,3
1,40,4,14,5,11,2
1,41,4,5,15,9,3
1,42,4,16,2,9,5
1,43,4,6,19,3,4
1,44,4,3,20,4,5
1,45,4,7,10,4,11
1,46,4,4,7,8,13
1,47,4,23,3,3,3
1,48,4,8,3,19,2
1,49,4,19,4,6,3
1,50,4,19,7,5,1
1,51,4,1,21,4,6
1,52,4,9,17,1,5
1,53,4,1,15,9,7
1,54,4,7,5,3,17
1,55,4,22,1,5,4
1,56,4,18,8,5,1
1,57,4,7,13,10,2
1,58,4,9,6,16,1
1,59,4,12,10,9,1
2,0,4,16,4,9,3
2,1,4,5,13,12,2
2,2,4,9,4,11,8
2,3,4,14,10,7,1
2,4,4,13,14,2,3
2,5,4,10,14,7,1
2,6,4,1,23,4,4
2,7,4,2,21,4,5
2,8,4,3,3,5,21
2,9,4,3,1,22,6
2,10,4,8,19,4,1
2,11,4,5,21,4,2
2,12,4,16,4,3,9
2,13,4,5,8,4,15
2,14,4,15,9,1,7
2,15,4,4,16,9,3
2,16,4,7,7,15,3
2,17,4,4,12,11,5
2,18,4,12,11,2,7
2,19,4,14,8,8,2
2,20,4,14,5,7,6
2,21,4,7,4,14,7
2,22,4,6,9,4,13
2,23,4,4,10,14,4
2,24,4,6,4,6,16
2,25,4,15,5,5,7
2,26,4,19,5,4,4
2,27,4,19,3,4,6
2,28,4,13,7,9,3
2,29,4,8,13,8,3
2,30,4,7,7,14,4
2,31,4,5,10,14,3
2,32,4,5,13,5,9
2,33,4,8,10,3,11
2,34,4,10,3,9,10
2,35,4,6,11,7,8
2,36,4,6,11,7,8
2,37,4,10,6,7,9
2,38,4,11,5,5,11
2,39,4,7,10,4,11
2,40,4,12,4,8,8
2,41,4,10,12,5,5
2,42,4,6,4,9,13
2,43,4,6,13,5,8
2,44,4,13,11,4,4
2,45,4,10,6,5,11
2,46,4,8,5,8,11
2,47,4,4,10,8,10
2,48,4,10,6,10,6
2,49,4,10,5,12,5
2,50,4,6,6,16,4
2,51,4,7,15,5,5
2,52,4,15,5,7,5
2,53,4,9,13,4,6
2,54,4,12,7,10,3
2,55,4,6,11,4,11
2,56,4,7,11,3,11
2,57,4,12,7,5,8
2,58,4,13,9,5,5
2,59,4,10,10,1,11
3,0,4,4,12,1,15
3,1,4,8,10,12,2
3,2,4,7,2,10,13
3,3,4,11,14,1,6
3,4,4,19,7,2,4
3,5,4,8,19,1,4
3,6,4,21,2,7,2
3,7,4,12,9,2,9
3,8,4,7,8,3,14
3,9,4,11,4,8,9
3,10,4,8,6,2,16
3,11,4,13,9,9,1
3,12,4,6,7,3,16
3,13,4,15,6,10,1
3,14,4,2,9,14,7
3,15,4,13,13,5,1
3,16,4,14,2,3,13
3,17,4,12,4,13,3
3,18,4,11,10,3,8
3,19,4,10,4,12,6
3,20,4,3,14,14,1
3,21,4,3,14,3,12
3,22,4,11,11,2,8
3,23,4,11,10,2,9
3,24,4,21,1,1,9
3,25,4,6,17,2,7
3,26,4,8,9,1,14
3,27,4,1,14,15,2
3,28,4,1,12,11,8
3,29,4,10,14,1,7
3,30,4,10,14,1,7
3,31,4,1,7,10,14
3,32,4,16,8,1,7
3,33,4,8,2,15,7
3,34,4,14,4,12,2
3,35,4,10,17,3,2
3,36,4,9,21,1,1
3,37,4,22,2,3,5
3,38,4,9,1,19,3
3,39,4,24,3,2,3
3,40,4,1,23,3,5
3,41,4,16,2,5,9
3,42,4,17,8,6,1
3,43,4,8,5,17,2
3,44,4,16,3,5,8
3,45,4,15,2,14,1
3,46,4,8,1,21,2
3,47,4,14,8,1,9
3,48,4,4,3,15,10
3,49,4,18,8,1,5
3,50,4,9,1,6,16
3,51,4,10,6,15,1
3,52,4,7,8,6,11
3,53,4,6,11,2,13
3,54,4,6,10,1,15
3,55,4,7,1,15,9
3,56,4,16,6,9,1
3,57,4,7,15,1,9
3,58,4,13,16,2,1
3,59,4,15,5,1,11
4,0,4,11,6,1,14
4,1,4,11,10,7,4
4,2,4,13,11,3,5
4,3,4,10,14,6,2
4,4,4,14,12,5,1
4,5,4,16,1,3,12
4,6,4,5,14,2,11
4,7,4,25,1,4,2
4,8,4,3,26,1,2
4,9,4,13,3,2,14
4,10,4,4,2,3,23
4,11,4,19,2,4,7
4,12,4,3,4,10,15
4,13,4,5,17,8,2
4,14,4,10,16,5,1
4,15,4,8,17,4,3
4,16,4,19,7,4,2
4,17,4,20,6,3,3
4,18,4,2,15,8,7
4,19,4,19,7,4,2
4,20,4,6,18,3,5
4,21,4,5,17,7,3
4,22,4,6,8,14,4
4,23,4,15,4,6,7
4,24,4,14,4,9,5
4,25,4,6,8,12,6
4,26,4,17,9,3,3
4,27,4,17,7,5,3
4,28,4,10,7,12,3
4,29,4,10,6,3,13
4,30,4,16,4,6,6
4,31,4,22,3,3,4
4,32,4,3,3,23,3
4,33,4,19,4,4,5
4,34,4,4,21,4,3
4,35,4,11,3,14,4
4,36,4,19,3,4,6
4,37,4,1,13,15,3
4,38,4,17,12,2,1
4,39,4,16,13,1,2
4,40,4,14,15,2,1
4,41,4,1,15,13,3
4,42,4,17,11,3,1
4,43,4,13,10,4,5
4,44,4,12,7,4,9
4,45,4,12,8,3,9
4,46,4,3,13,15,1
4,47,4,2,13,15,2
4,48,4,13,15,3,1
4,49,4,15,14,2,1
4,50,4,16,13,2,1
4,51,4,13,16,2,1
4,52,4,13,16,2,1
4,53,4,12,17,1,2
4,54,4,12,16,2,2
4,55,4,6,17,2,7
4,56,4,18,5,2,7
4,57,4,16,12,2,2
4,58,4,19,10,2,1
4,59,4,18,10,2,2
5,0,4,11,2,9,10
5,1,4,9,6,11,6
5,2,4,4,11,12,5
5,3,4,16,6,2,8
5,4,4,12,2,10,8
5,5,4,2,20,1,9
5,6,4,17,1,10,4
5,7,4,23,3,3,3
5,8,4,23,1,3,5
5,9,4,2,24,2,4
5,10,4,25,2,4,1
5,11,4,8,1,22,1
5,12,4,27,2,1,2
5,13,4,25,2,2,3
5,14,4,5,15,2,10
5,15,4,1,25,4,2
5,16,4,21,6,3,2
5,17,4,8,22,1,1
5,18,4,7,22,1,2
5,19,4,5,23,1,3
5,20,4,17,5,2,8
5,21,4,5,10,16,1
5,22,4,3,25,3,1
5,23,4,14,1,4,13
5,24,4,19,1,11,1
5,25,4,3,16,1,12
5,26,4,7,5,1,19
5,27,4,19,1,3,9
5,28,4,21,1,7,3
5,29,4,26,1,4,1
5,30,4,29,1,1,1
5,31,4,2,1,26,3
5,32,4,25,1,1,5
5,33,4,24,1,5,2
5,34,4,28,2,1,1
5,35,4,14,3,1,14
5,36,4,5,2,24,1
5,37,4,28,2,1,1
5,38,4,28,2,1,1
5,39,4,21,1,1,9
5,40,4,1,28,2,1
5,41,4,28,1,2,1
5,42,4,1,26,4,1
5,43,4,27,2,2,1
5,44,4,1,4,2,25
5,45,4,27,2,1,2
5,46,4,2,1,3,26
5,47,4,12,1,18,1
5,48,4,2,1,13,16
5,49,4,1,16,14,1
5,50,4,17,1,2,12
5,51,4,15,1,1,15
5,52,4,1,12,1,18
5,53,4,19,1,11,1
5,54,4,21,1,2,8
5,55,4,12,2,1,17
5,56,4,16,1,14,1
5,57,4,1,22,7,2
5,58,4,15,2,13,2
5,59,4,2,14,1,15
6,0,4,13,7,6,6
6,1,4,16,7,6,3
6,2,4,6,8,14,4
6,3,4,6,20,5,1
6,4,4,17,7,7,1
6,5,4,6,7,5,14
6,6,4,5,6,8,13
6,7,4,9,3,16,4
6,8,4,11,6,12,3
6,9,4,12,4,6,10
6,10,4,9,4,10,9
6,11,4,11,11,3,7
6,12,4,7,10,7,8
6,13,4,9,9,7,7
6,14,4,4,12,7,9
6,15,4,14,10,5,3
6,16,4,8,15,3,6
6,17,4,12,5,8,7
6,18,4,15,6,7,4
6,19,4,17,4,2,9
6,20,4,12,7,5,8
6,21,4,3,11,14,4
6,22,4,18,11,2,1
6,23,4,22,4,5,1
6,24,4,16,5,4,7
6,25,4,16,5,9,2
6,26,4,4,7,19,2
6,27,4,21,5,2,4
6,28,4,4,17,3,8
6,29,4,3,19,5,5
6,30,4,16,3,7,6
6,31,4,8,3,2,19
6,32,4,18,2,3,9
6,33,4,6,5,19,2
6,34,4,4,6,18,4
6,35,4,17,4,6,5
6,36,4,14,3,10,5
6,37,4,2,20,8,2
6,38,4,2,10,2,18
