VID,FrameID,Color,Texture,Edge
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,217.83551,0.002,0
1,0,199.65285,0.395,3.354622396
1,0,199.63214,0.395,3.312011719
1,0,199.6398,0.395,3.319759115
1,0,187.57068,0.697,6.692643229
1,0,187.52469,0.697,6.711458333
1,0,184.51345,0.774,7.414257813
1,0,184.46984,0.773,7.47125651
1,0,184.36902,0.769,7.265950521
1,0,184.3843,0.764,6.956608073
1,0,184.35077,0.761,6.854785156
1,0,184.44367,0.76,6.66110026
1,0,173.5045,1.022,9.304622396
1,0,173.52899,1.028,9.43577474
1,0,173.61504,1.038,9.946549479
1,0,173.55664,1.041,10.23984375
1,0,173.65348,1.044,10.1391276
1,0,173.62849,1.044,10.30458984
1,0,173.73367,1.045,10.23818359
1,0,173.86733,1.045,10.3023763
1,0,173.8347,1.043,10.30957031
1,0,173.84729,1.043,10.45289714
1,0,173.83082,1.043,10.31510417
1,0,173.87312,1.041,10.41582031
1,0,173.81177,1.042,10.45843099
1,0,174.04078,1.044,10.39645182
1,0,174.00596,1.046,10.40253906
1,0,174.16874,1.045,10.36933594
1,0,174.14904,1.044,10.42356771
1,0,174.19397,1.044,10.43186849
1,0,174.21442,1.04,10.22379557
1,0,174.25268,1.037,9.97421875
1,0,174.24789,1.035,9.913346354
1,0,174.17276,1.037,9.88844401
1,0,174.20302,1.036,9.896191406
1,0,174.11239,1.036,9.949316406
1,0,174.18121,1.037,9.943229167
1,0,174.18365,1.038,9.898958333
1,0,174.10203,1.038,10.03398438
1,0,174.2865,1.037,9.79436849
1,0,174.48398,1.037,9.812630208
1,0,174.43972,1.035,9.68811849
1,0,174.53729,1.035,9.760611979
1,0,174.52853,1.033,9.858007813
1,0,174.65178,1.032,9.819824219
1,0,174.67541,1.033,9.705273438
1,0,89.00095,2.646,17.22467448
1,0,89.12088,2.65,17.1898112
1,0,89.25391,2.652,17.27060547
1,0,57.12804,2.978,17.85719401
1,0,57.22559,2.972,17.68177083
1,0,57.24914,2.972,17.85830078
1,0,-11.91782,3.396,21.96220703
1,0,-11.61958,3.399,21.68717448
1,0,-11.77644,3.401,21.23173828
1,0,-11.09275,3.402,21.06516927
1,0,-10.22629,3.398,20.94785156
1,0,-9.9791,3.352,20.09508464
1,0,-9.83179,3.316,20.15761719
